ID,date,warehouse_ID,Latitude,Longitude,Product_Type,year,month,is_weekend,is_warehouse_closed,daily_dispatch_count,weekly_dispatch_count
0x2710,1/1/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,5.5,5.5
0x33e6,1/1/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.1,6.1
0x2711,1/2/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,4.8,
0x33e7,1/2/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.7,
0x2712,1/3/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.8,
0x2713,1/4/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,6.6,
0x33e9,1/4/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7,
0x2714,1/5/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,4.9,
0x2715,1/6/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.9,
0x33eb,1/6/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.2,
0x2716,1/7/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.6,
0x2717,1/8/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.5,37.1
0x33ed,1/8/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.5,48.3
0x2718,1/9/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,4.8,
0x33ee,1/9/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.5,
0x2719,1/10/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,4.9,
0x33ef,1/10/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.2,
0x271a,1/11/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,6.4,
0x33f0,1/11/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.9,
0x271b,1/12/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.3,
0x33f1,1/12/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,8.1,
0x271c,1/13/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.8,
0x33f2,1/13/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,8.1,
0x271d,1/14/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,5.7,
0x33f3,1/14/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.2,
0x271e,1/15/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.6,37.5
0x33f4,1/15/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.7,49.7
0x271f,1/16/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.4,
0x33f5,1/16/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.2,
0x2720,1/17/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.2,
0x33f6,1/17/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.2,
0x2721,1/18/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.1,
0x33f7,1/18/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.6,
0x2722,1/19/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.1,
0x33f8,1/19/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.6,
0x2723,1/20/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.7,
0x33f9,1/20/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.5,
0x2724,1/21/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.1,
0x33fa,1/21/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,5.9,
0x2725,1/22/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.4,35
0x33fb,1/22/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.3,48.3
0x2726,1/23/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5,
0x33fc,1/23/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.3,
0x33fd,1/24/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.6,
0x2728,1/25/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,6.2,
0x2729,1/26/2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.2,
0x33ff,1/26/2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.9,
